,imdb_id,release_date,genres,title,budget,revenue,runtime_mins,vote_average,vote_count
70,tt1250777,2010-03-22,"['Action', 'Crime']",Kick-Ass,28000000,96188903,117,7.1,8682
71,tt1242432,2010-06-17,"['Thriller', 'Crime', 'Horror']",I Spit on Your Grave,2000000,572809,108,6.4,1303
72,tt1470827,2010-06-18,"['Drama', 'Thriller', 'Science Fiction']",Monsters,500000,5639730,94,6.2,1028
73,tt1403981,2010-03-12,"['Drama', 'Romance']",Remember Me,16000000,56032889,113,7.1,2532
74,tt1053424,2010-03-18,"['Action', 'Science Fiction', 'Thriller', 'Crime']",Repo Men,32000000,18409891,111,6.3,1222
75,tt1243957,2010-12-08,"['Action', 'Thriller', 'Romance']",The Tourist,100000000,278731369,103,6.2,3876
76,tt0455407,2010-02-26,"['Mystery', 'Horror', 'Action']",The Crazies,20000000,54956140,101,6.2,1250
77,tt1279935,2010-04-08,['Comedy'],Date Night,55000000,152263880,97,6.0,1998
78,tt1179034,2010-02-04,"['Action', 'Crime', 'Thriller']",From Paris with Love,52000000,52826594,92,6.2,1295
79,tt0815236,2010-03-11,"['Comedy', 'Romance']",She's Out of My League,20000000,49779728,104,6.2,1262
80,tt0427152,2010-07-30,['Comedy'],Dinner for Schmucks,69000000,86387857,114,5.6,1153
81,tt1282140,2010-09-16,['Comedy'],Easy A,8000000,74952305,93,6.8,5058
82,tt1216492,2010-01-08,"['Romance', 'Comedy']",Leap Year,19000000,29922472,100,6.8,1339
83,tt0985694,2010-09-01,"['Action', 'Comedy', 'Thriller']",Machete,20000000,44093316,105,6.3,2224
84,tt1564585,2010-11-11,"['Science Fiction', 'Action']",Skyline,10000000,66984887,92,4.9,1006
85,tt1458175,2010-11-18,"['Romance', 'Drama', 'Thriller', 'Crime']",The Next Three Days,30000000,51148651,133,7.0,1861
86,tt1438254,2010-05-01,"['Drama', 'Romance']",Charlie St. Cloud,44000000,48190704,99,6.9,1650
87,tt0970866,2010-12-21,"['Comedy', 'Romance']",Little Fockers,100000000,310650585,98,5.6,2288
88,tt0477080,2010-11-04,"['Action', 'Thriller']",Unstoppable,100000000,167805466,98,6.4,2286
89,tt1139328,2010-02-12,"['Thriller', 'Mystery']",The Ghost Writer,45000000,60331447,128,6.8,1396
90,tt0940656,2010-08-22,"['Animation', 'Adventure', 'Fantasy', 'Family']",Arthur 3: The War of the Two Worlds,70200000,0,101,5.7,1086
91,tt1314655,2010-01-13,"['Horror', 'Mystery', 'Thriller']",Devil,10000000,33583175,80,6.0,1878
92,tt0817177,2010-08-06,"['Romance', 'Drama']",Flipped,14000000,1755212,89,7.6,1257
93,tt1126591,2010-11-23,"['Drama', 'Romance']",Burlesque,55000000,89519773,119,7.2,1561
94,tt0808510,2010-01-14,"['Comedy', 'Family', 'Fantasy']",Tooth Fairy,48000000,112462508,101,5.4,1383
95,tt1334260,2010-02-11,"['Drama', 'Romance', 'Science Fiction']",Never Let Me Go,15000000,9918093,104,6.8,1522
96,tt1255953,2010-09-04,"['Drama', 'War', 'Mystery']",Incendies,10000000,0,130,8.1,1340
97,tt1261945,2010-05-26,"['Comedy', 'Drama', 'Romance']",Sex and the City 2,100000000,288347692,146,6.0,1068
98,tt1226229,2010-06-04,['Comedy'],Get Him to the Greek,40000000,90029656,109,5.9,1174
99,tt1542344,2010-11-05,"['Adventure', 'Drama', 'Thriller']",127 Hours,18000000,35692920,94,7.0,5330
100,tt0780653,2010-02-11,['Horror'],The Wolfman,150000000,0,102,5.8,1256
101,tt1386588,2010-08-06,"['Action', 'Comedy', 'Crime']",The Other Guys,100000000,170432927,107,6.2,2718
102,tt1323045,2010-02-05,['Thriller'],Frozen,0,3065860,93,5.9,1211
