release_date,title,genres,production_budget,domestic_gross,foreign_gross,worldwide_gross
2015-09-09,Time Out of Mind,Drama,,164849,,
2015-11-06,Theeb,Adventure,,164704,,
2015-02-13,C'est Si Bon,Drama,,164167,,
2015-11-11,The Last Women Standing,Drama,,163406,,
2015-04-24,After the Ball,Romantic Comedy,,161820,,
2015-01-14,Human Capital,Drama,,158549,,
2015-12-18,Son of Saul,Drama,,158534,,
2015-10-02,Hell & Back,Adventure,,157768,,
2014-11-14,The Homesman,Western,16000000,157192,5787582,8217571
2015-10-16,Experimenter,Drama,,155575,,
2015-04-10,Desert Dancer,Drama,4000000,155271,441064,596335
2015-01-30,Buen dia Ramon,Drama,,154356,,
2015-07-24,Samba,Comedy,,151530,,
2015-06-17,The Tribe,Drama,,150565,,
2015-07-10,Forever Young,Comedy,,149761,,
2015-02-13,The Last Five Years,Musical,2000000,147299,57999,205298
2015-04-24,Kurt Cobain: Montage Of Heck,Documentary,,140208,,
2015-09-11,A Brilliant Young Mind,Drama,,139511,,
2015-04-03,5 to 7,Romantic Comedy,,137112,,
2012-04-20,To the Arctic 3D,Documentary,,136146,,
2015-03-20,La Sapienza,Drama,,135392,,
2015-08-07,Cop Car,Thriller/Suspense,5000000,134552,9106,143658
2015-04-22,Don't Think I've Forgotten:…,Documentary,,133443,,
2015-06-19,Manglehorn,Drama,4000000,132270,665169,797439
2015-10-14,A Ballerina's Tale,Documentary,,131995,,
2015-09-25,Mississippi Grind,Drama,,130541,,
2015-04-24,Kung Fu Killer,Action,,129115,,
2015-07-10,Boulevard,Drama,,126150,,
2014-05-02,Ida,Drama,2600000,122448,11471295,15298355
2015-08-28,Z for Zachariah,Thriller/Suspense,,121461,,
2015-11-18,A Journey Through Time With…,Drama,,119376,,
2015-08-21,Digging for Fire,Drama,,119364,,
2014-08-01,Guardians of the Galaxy,Action,170000000,116854,437964895,771137007
2015-04-17,Tangerines,Drama,,114501,,
2015-03-06,Road Hard,Comedy,1500000,113169,0,113169
2014-10-24,John Wick,Action,30000000,112512,33149955,76187790
2015-08-21,She's Funny That Way,Comedy,,111993,,
2015-08-28,Memories of the Sword,Action,,111071,,
2015-07-17,The Look of Silence,Documentary,,109089,,
2015-07-10,Do I Sound Gay?,Documentary,,108620,,
2015-09-11,The Beauty Inside,Drama,,108238,,
2015-04-24,Adult Beginners,Comedy,,104808,,
2015-05-29,Results,Comedy,,104507,,
2015-05-15,Every Secret Thing,Thriller/Suspense,,103536,,
2015-11-04,In Jackson Heights,Documentary,,102475,,
2015-07-31,Beyond the Brick: A LEGO Br…,Documentary,,101531,,
2015-11-13,James White,Drama,,101368,,
2015-11-10,Ghost in the Shell: The New…,Action,,101203,,
