imdb_id,popularity,title,budget,revenue,runtime_mins,vote_average,vote_count,genre_count,ROI,genre
tt0889573,14.603,The Switch,19000000,49830607,101,6.2,1257,3,1.6226635263157896,Comedy
tt0889573,14.603,The Switch,19000000,49830607,101,6.2,1257,3,1.6226635263157896,Romance
tt0889573,14.603,The Switch,19000000,49830607,101,6.2,1257,3,1.6226635263157896,Drama
tt1179056,14.542,A Nightmare on Elm Street,35000000,115664037,95,5.5,1749,3,2.3046867714285715,Horror
tt1179056,14.542,A Nightmare on Elm Street,35000000,115664037,95,5.5,1749,3,2.3046867714285715,Mystery
tt1179056,14.542,A Nightmare on Elm Street,35000000,115664037,95,5.5,1749,3,2.3046867714285715,Thriller
tt1279935,14.406,Date Night,55000000,152263880,97,6.0,2000,1,1.768434181818182,Comedy
tt0970866,13.932,Little Fockers,100000000,310650585,98,5.6,2295,2,2.10650585,Comedy
tt0970866,13.932,Little Fockers,100000000,310650585,98,5.6,2295,2,2.10650585,Romance
tt0477080,13.836,Unstoppable,100000000,167805466,98,6.4,2289,2,0.67805466,Action
tt0477080,13.836,Unstoppable,100000000,167805466,98,6.4,2289,2,0.67805466,Thriller
tt1103153,13.784,Killers,75000000,98159963,100,5.9,1610,4,0.30879950666666667,Action
tt1103153,13.784,Killers,75000000,98159963,100,5.9,1610,4,0.30879950666666667,Comedy
tt1103153,13.784,Killers,75000000,98159963,100,5.9,1610,4,0.30879950666666667,Thriller
tt1103153,13.784,Killers,75000000,98159963,100,5.9,1610,4,0.30879950666666667,Romance
tt0892318,13.775,Letters to Juliet,30000000,82148538,105,6.9,2075,3,1.7382846,Comedy
tt0892318,13.775,Letters to Juliet,30000000,82148538,105,6.9,2075,3,1.7382846,Drama
tt0892318,13.775,Letters to Juliet,30000000,82148538,105,6.9,2075,3,1.7382846,Romance
tt1139328,13.182,The Ghost Writer,45000000,60331447,128,6.8,1399,2,0.3406988222222222,Thriller
tt1139328,13.182,The Ghost Writer,45000000,60331447,128,6.8,1399,2,0.3406988222222222,Mystery
tt0879870,13.067,Eat Pray Love,60000000,204594016,133,6.2,1582,1,2.4099002666666665,Drama
tt1542344,12.983,127 Hours,18000000,35692920,94,7.0,5339,3,0.98294,Adventure
tt1542344,12.983,127 Hours,18000000,35692920,94,7.0,5339,3,0.98294,Drama
tt1542344,12.983,127 Hours,18000000,35692920,94,7.0,5339,3,0.98294,Thriller
tt1231587,12.882,Hot Tub Time Machine,36000000,64572262,101,6.0,1656,3,0.7936739444444444,Science Fiction
tt1231587,12.882,Hot Tub Time Machine,36000000,64572262,101,6.0,1656,3,0.7936739444444444,Comedy
tt1231587,12.882,Hot Tub Time Machine,36000000,64572262,101,6.0,1656,3,0.7936739444444444,Adventure
tt1415283,12.358,Nanny McPhee and the Big Bang,25000000,123276807,109,6.2,1219,3,3.93107228,Comedy
tt1415283,12.358,Nanny McPhee and the Big Bang,25000000,123276807,109,6.2,1219,3,3.93107228,Fantasy
tt1415283,12.358,Nanny McPhee and the Big Bang,25000000,123276807,109,6.2,1219,3,3.93107228,Family
tt1212419,12.265,Hereafter,50000000,105197635,129,6.0,1080,2,1.1039527,Drama
tt1212419,12.265,Hereafter,50000000,105197635,129,6.0,1080,2,1.1039527,Fantasy
tt1438254,12.163,Charlie St. Cloud,44000000,48190704,99,6.9,1653,2,0.09524327272727273,Drama
